386416,1000027
363831,1000034
277596,1000020
947244,1000015
46440,1000005
272803,1000067
167232,1000016
405836,1000035
246937,1000068
174814,1000012
170224,1000018
256189,1000037
182988,1000014
467746,1000004
59083,1000009
727590,1000006
135636,1000021
407167,1000028
556405,1000007
247624,1000010
490258,1000030
261076,1000011
57429,1000069
210176,1000031
182893,1000002
149631,1000026
5675,1000029
556453,1000033
297835,1000023
1026583,1000019
24747,1000022
173329,1000066
319287,1000003
40606,1000072
754560,1000008
569064,1000025
291320,1000024
382199,1000000
590832,1000013
447266,1000032
