Majin Buub,161,VDhLNfTx8tPW9q1X
Polar Frozenclaws,138,VDhLNfTx8tPW9q1X
Woo Wee,105,VDhLNfTx8tPW9q1X
Roger Dat,63,VDhLNfTx8tPW9q1X
Seren Alwen,54,VDhLNfTx8tPW9q1X
Shadow Qwert,48,VDhLNfTx8tPW9q1X
